index,date,federal_state_id,federal_state_name,professional_area_ID,professional_area,number_of_unemployed,number_of_job _seekers,reported_open_positions,reported_open_positions_moving_annual_total
2275,15/01/2019,,Hamburg,82512,"Orthopädie-, Rehatechnik - Fachkraft",4,4,- ,3
2276,15/01/2019,,Hamburg,82513,"Orthopädie-, Rehatechnik - Spezialist",5,6,4,10
2277,15/01/2019,,Hamburg,8252,Berufe in der Augenoptik,18,34,27,103
2278,15/01/2019,,Hamburg,82522,Augenoptik - Fachkraft,17,31,27,102
2279,15/01/2019,,Hamburg,8253,Berufe in der Hörgeräteakustik,10,14,24,50
2280,15/01/2019,,Hamburg,82532,Hörgeräteakustik - Fachkraft,4,7,24,50
2281,15/01/2019,,Hamburg,82533,Hörgeräteakustik - Spezialist,5,5,- ,- 
2282,15/01/2019,,Hamburg,8254,Berufe in der Zahntechnik,41,64,14,62
2283,15/01/2019,,Hamburg,82542,Zahntechnik - Fachkraft,41,64,14,62
2284,15/01/2019,,Hamburg,8259,"Aufsicht,Führung-Med-Orthopäd,Rehatechn.",8,11,35,118
2285,15/01/2019,,Hamburg,82593,"Aufsicht-Medizin-Orthopädie-,Rehatechnik",8,11,35,118
2286,15/01/2019,,Hamburg,83,"Erziehung,soz.,hauswirt.Berufe,Theologie","1,681","3,341",488,"1,637"
2287,15/01/2019,,Hamburg,831,"Erziehung,Sozialarb.,Heilerziehungspfl.","1,358","2,686",448,"1,503"
2288,15/01/2019,,Hamburg,8311,"Berufe i.d. Kinderbetreuung, -erziehung",380,843,254,771
2289,15/01/2019,,Hamburg,83112,"Kinderbetreuung, -erziehung - Fachkraft",380,843,254,771
2290,15/01/2019,,Hamburg,8312,"Berufe i.d. Sozialarbeit,Sozialpädagogik",368,649,118,445
2291,15/01/2019,,Hamburg,83123,"Sozialarbeit, Sozialpädagogik-Spezialist",153,283,21,- 
2292,15/01/2019,,Hamburg,83124,"Sozialarbeit, Sozialpädagogik - Experte",215,366,97,445
2293,15/01/2019,,Hamburg,8313,"Berufe Heilerziehungspflege, Sonderpäd.",53,91,34,139
2294,15/01/2019,,Hamburg,83132,"Heilerziehungspflege,Sonderpäd-Fachkraft",33,59,21,107
2295,15/01/2019,,Hamburg,83133,"Heilerziehungspfl.,Sonderpäd.-Spezialist",7,14,* ,8
2296,15/01/2019,,Hamburg,83134,"Heilerziehungspflege,Sonderpäd.-Experte",13,18,11,24
2297,15/01/2019,,Hamburg,8314,Berufe in der Haus- und Familienpflege,531,"1,055",38,125
2298,15/01/2019,,Hamburg,83142,Haus- und Familienpflege - Fachkraft,508,"1,014",37,120
2299,15/01/2019,,Hamburg,83143,Haus- und Familienpflege - Spezialist,23,41,* ,5
2300,15/01/2019,,Hamburg,8315,"Berufe Sozial-,Erziehungs-,Suchtberatung",19,30,* ,3
