Year,Federal State,Degree,Gender,Value
2021,Sachsen-Anhalt,Master,Total,2814
2021,Sachsen-Anhalt,Master,Males,1391
2021,Sachsen-Anhalt,Master,Females,1423
2021,Schleswig-Holstein,Total,Total,12337
2021,Schleswig-Holstein,Total,Males,5666
2021,Schleswig-Holstein,Total,Females,6671
2021,Schleswig-Holstein,Bachelor,Total,5936
2021,Schleswig-Holstein,Bachelor,Males,2804
2021,Schleswig-Holstein,Bachelor,Females,3132
2021,Schleswig-Holstein,Master,Total,2743
2021,Schleswig-Holstein,Master,Males,1330
2021,Schleswig-Holstein,Master,Females,1413
2021,Thüringen,Total,Total,11673
2021,Thüringen,Total,Males,5266
2021,Thüringen,Total,Females,6407
2021,Thüringen,Bachelor,Total,5798
2021,Thüringen,Bachelor,Males,2487
2021,Thüringen,Bachelor,Females,3311
2021,Thüringen,Master,Total,3781
2021,Thüringen,Master,Males,1874
2021,Thüringen,Master,Females,1907
